"weight";"lat";"lon"
4;45.541556;-122.878856
10;45.525585;-122.857449
10;45.559724;-122.817171
0;45.556602;-122.824083
6.75;45.54049699999999;-122.838474
18;45.558668;-122.818067
5;45.5224817;-122.8698138
2.5;45.5143217;-122.8449194
4.5;45.5142993;-122.8888446
2.5;45.522395;-122.898093
4;45.5250701;-122.8929403
5;45.508511;-122.820546
5;45.511728;-122.844175
5;45.535776;-122.835916
5;45.545265;-122.80646
2;45.5303475;-122.8285863
0;45.561694;-122.805826
4;45.51585;-122.8114239
2;45.5306724;-122.8435464
5;25.926976;-80.2162341
5;45.521947;-122.864383
5;45.5224817;-122.8698138
4;45.5212131;-122.804015
5;45.5225836;-122.891851
20;45.5581884;-122.9013433
10;45.528389;-122.845499
4;45.53713010000001;-122.7780979
5;45.518723;-122.817613
5;45.5294598;-122.7767459
2.5;45.5204302;-122.7984423
3;45.517293;-122.807797
3.75;45.5393208;-122.8492736
3;45.53203800000001;-122.80782
2;25.7762511;-80.3943879
2.5;45.5252565;-122.8401813
2.25;45.525773;-122.810115
15.25;45.5219333;-122.8903646
5;45.6190704;-123.1816849
4;45.5630693;-122.8909588
3;45.566821;-122.8510604
3;45.5102369;-122.887448
7.5;45.5451966;-122.870784
6.75;36.7577529;-76.0080421
50;45.5246151;-122.8250034
5;45.50740709999999;-122.8167736
6;41.7768488;-93.6493361
2.25;45.5231;-122.806695
5;45.530491;-122.808724
6;45.559724;-122.817171
3;45.560477;-122.861813
5;45.51758770000001;-122.8866479
5;45.521989;-122.8896181
5;45.53713010000001;-122.7780979
4;45.51877;-122.811038
3;45.5375466;-122.8472048
8;45.5362915;-122.87537
3;45.551094;-122.8550516
3;45.554105;-122.868203
6;45.5156243;-122.8535123
0;45.5341568;-122.8658882
3;45.54495499999999;-122.861343
0;45.5419517;-122.8868093
0;45.526315;-122.8406576
6;45.5113481;-122.8417952
10;45.5253806;-122.8929133
5;44.579998;-123.272816
15;44.579998;-123.272816
2;44.579998;-123.272816
7;45.543658;-122.76115
6;35.0585505;-106.8163451
0;40.969211;-74.601362
3;45.5396479;-122.880626
10;45.5287453;-122.8360967
4;45.5164828;-122.8468732
10;45.518274;-122.864856
2;45.555903;-122.807359
5;45.52453;-122.753873
4;41.331346;-81.73608109999999
3;45.54754800000001;-122.844526
3.25;45.536189;-122.842998
2;45.5257478;-122.891843
4.5;45.525065;-122.889886
10;45.560708;-122.797381
5.5;45.51847799999999;-122.935221
5;45.502452;-122.900327
3.5;45.542139;-122.855585
2;45.5105059;-122.8553482
4;45.50323299999999;-122.821201
8;45.559724;-122.817171
3;45.5143217;-122.8449194
5;45.4995649;-122.798644
5;45.537032;-122.835451
10;45.5601208;-122.8933276
5.75;45.502196;-122.811298
6;45.5650791;-122.82682
6.25;38.3132551;-90.6963058
20;45.5662738;-122.8342746
